Norwalk,CT,Connecticut,Fairfield,41.1144,-73.4215,06854 06855 06856 06850 06851 06853 06852 06857 06858 06860,1840004839
Greenwich,CT,Connecticut,Fairfield,41.0252,-73.6298,06830 06831,1840026283
Crystal Lake,CT,Connecticut,Tolland,41.9343,-72.3756,6029,1840000506
Middletown,CT,Connecticut,Middlesex,41.5476,-72.6549,06457 06459,1840004844
Tariffville,CT,Connecticut,Hartford,41.9076,-72.7681,6081,1840003266
Meriden,CT,Connecticut,New Haven,41.5367,-72.7943,06451 06450,1840004848
Stonington,CT,Connecticut,New London,41.3344,-71.9033,6378,1840004829
Riverside,CT,Connecticut,Fairfield,41.0319,-73.5827,6878,1840026286
Terramuggus,CT,Connecticut,Hartford,41.6342,-72.4692,6447,1840028604
Southwood Acres,CT,Connecticut,Hartford,41.961,-72.5719,06082 06083,1840028602
Bethel,CT,Connecticut,Fairfield,41.3727,-73.4116,6801,1840004842
Stafford Springs,CT,Connecticut,Tolland,41.9595,-72.3105,6076,1840003275
Danbury,CT,Connecticut,Fairfield,41.4016,-73.471,06810 06811 06813 06814 06816 06817,1840004837
East Hartford,CT,Connecticut,Hartford,41.7634,-72.6152,06108 06118 06128 06138,1840000502
East Haven,CT,Connecticut,New Haven,41.2983,-72.8577,06513 06512,1840000584
Brooklyn,CT,Connecticut,Windham,41.7898,-71.9542,6234,1840026227
Terryville,CT,Connecticut,Litchfield,41.6784,-73.0064,06786 06781,1840003261
Woodmont,CT,Connecticut,New Haven,41.2283,-72.993,6460,1840004853
Topstone,CT,Connecticut,Fairfield,41.2959,-73.449,6896,1840027300
Ansonia,CT,Connecticut,New Haven,41.3443,-73.0689,6401,1840004846
Pawcatuck,CT,Connecticut,New London,41.3774,-71.8492,6379,1840003353
Rockville,CT,Connecticut,Tolland,41.8667,-72.4528,6066,1840003274
Cos Cob,CT,Connecticut,Fairfield,41.0511,-73.5933,6807,1840026281
South Coventry,CT,Connecticut,Tolland,41.7695,-72.3064,6238,1840028601
North Granby,CT,Connecticut,Hartford,42.0152,-72.844,6060,1840003265
Salmon Brook,CT,Connecticut,Hartford,41.9567,-72.7931,6035,1840028599
West Hartford,CT,Connecticut,Hartford,41.7669,-72.7536,06107 06119 06117 06110 06127 06133 06137,1840003269
West Haven,CT,Connecticut,New Haven,41.2738,-72.9669,6516,1840004852
Canaan,CT,Connecticut,Litchfield,42.0347,-73.3323,6018,1840004771
Waterford,CT,Connecticut,New London,41.3452,-72.1288,6385,1840028606
Lakeville,CT,Connecticut,Litchfield,41.9594,-73.4467,06039 06068,1840026222
Sharon,CT,Connecticut,Litchfield,41.8784,-73.472,6069,1840026224
East Brooklyn,CT,Connecticut,Windham,41.7948,-71.8992,6234,1840000508
Fenwick,CT,Connecticut,Middlesex,41.2711,-72.3546,6475,1840004843
Uncasville,CT,Connecticut,New London,41.4345,-72.1098,6382,1840027283
Thomaston,CT,Connecticut,Litchfield,41.6733,-73.0798,6787,1840026225
Aspetuck,CT,Connecticut,Fairfield,41.2182,-73.321,6612,1840027297
Long Hill,CT,Connecticut,New London,41.3536,-72.0517,6340,1840003348
Westport,CT,Connecticut,Fairfield,41.1428,-73.3475,06880 06838 06881 06888 06889,1840003361
Lyons Plain,CT,Connecticut,Fairfield,41.2251,-73.3462,6883,1840027296
Old Mystic,CT,Connecticut,New London,41.3854,-71.985,6355,1840003352
Georgetown,CT,Connecticut,Fairfield,41.2494,-73.4343,06896 06897 06829,1840000575
Hazardville,CT,Connecticut,Hartford,41.9899,-72.5256,6082,1840000504
Somers,CT,Connecticut,Tolland,41.9911,-72.443,6071,1840004780
Litchfield,CT,Connecticut,Litchfield,41.7457,-73.1893,6759,1840004769
Hartford,CT,Connecticut,Hartford,41.7661,-72.6834,06106 06105 06103 06120 06112 06160 06114 06101 06102 06104 06115 06123 06126 06132 06134 06140 06141 06142 06143 06144 06145 06146 06147 06150 06151 06152 06153 06154 06155 06156 06161 06167 06176 06180 06183 06199,1840004773
Sherwood Manor,CT,Connecticut,Hartford,42.0125,-72.566,6082,1840028600
Glenville,CT,Connecticut,Fairfield,41.0349,-73.6656,6831,1840026282
Glastonbury Center,CT,Connecticut,Hartford,41.7018,-72.6001,6033,1840000503
Danielson,CT,Connecticut,Windham,41.8086,-71.8854,6239,1840004781
Winsted,CT,Connecticut,Litchfield,41.9267,-73.0675,6098,1840003262
Byram,CT,Connecticut,Fairfield,41.0011,-73.6528,6830,1840026280
West Simsbury,CT,Connecticut,Hartford,41.8748,-72.8448,06092 06070,1840003270
Bristol,CT,Connecticut,Hartford,41.6812,-72.9407,06010 06011,1840004772
Derby,CT,Connecticut,New Haven,41.3265,-73.0833,6418,1840004847
North Haven,CT,Connecticut,New Haven,41.3818,-72.8573,6473,1840003372
Branchville,CT,Connecticut,Fairfield,41.2676,-73.4418,6877,1840027298
East Hampton,CT,Connecticut,Middlesex,41.5735,-72.4918,6424,1840000582
New Haven,CT,Connecticut,New Haven,41.3112,-72.9245,06519 06511 06510 06513 06512 06515 06501 06502 06503 06504 06505 06506 06507 06508 06509 06520 06521 06530 06531 06532 06533 06534 06535 06536 06537 06538 06540,1840004850
Saybrook Manor,CT,Connecticut,Middlesex,41.2825,-72.4063,6475,1840003371
Norwich,CT,Connecticut,New London,41.5495,-72.0882,06380 06389 06360,1840004828
Mansfield Center,CT,Connecticut,Tolland,41.7619,-72.1944,6250,1840003273
Stamford,CT,Connecticut,Fairfield,41.1035,-73.5583,06906 06907 06905 06902 06903 06901 06904 06910 06911 06912 06913 06914 06921 06926 06927,1840004841
Weatogue,CT,Connecticut,Hartford,41.8459,-72.8294,06070 06089,1840003268
Portland,CT,Connecticut,Middlesex,41.5813,-72.6214,6480,1840003370
New Preston,CT,Connecticut,Litchfield,41.6813,-73.3523,6777,1840003259
