city, state_id, state_name, county, longitude, latitude, zips, fips id
Salkum,WA,Washington,Lewis,46.5321,-122.6259,98582,1840037813
Cunningham,WA,Washington,Adams,46.8221,-118.8064,99344,1840037636
Irby,WA,Washington,Lincoln,47.3593,-118.8511,99159,1840037557
Electric City,WA,Washington,Grant,47.9222,-119.0476,99123 99133,1840021104
Burbank,WA,Washington,Walla Walla,46.1991,-118.9728,99323,1840017383
Silver Lake,WA,Washington,Cowlitz,46.2973,-122.8107,98645,1840037509
Dash Point,WA,Washington,Pierce,47.313,-122.4153,98422,1840037637
Woods Creek,WA,Washington,Snohomish,47.8821,-121.8982,98272,1840037864
McKenna,WA,Washington,Pierce,46.9366,-122.5501,98580 98558,1840023836
Island View,WA,Washington,Benton,46.2393,-119.2233,99352,1840037667
Kalama,WA,Washington,Cowlitz,46.0115,-122.8369,98625,1840018502
Grandview,WA,Washington,Yakima,46.2432,-119.9082,98935 98930,1840019871
Winthrop,WA,Washington,Okanogan,48.4719,-120.179,98862,1840022272
Maltby,WA,Washington,Snohomish,47.8026,-122.1044,98021 98296 98072 98077,1840017326
Spangle,WA,Washington,Spokane,47.4297,-117.3813,99031,1840022290
Blanchard,WA,Washington,Skagit,48.5934,-122.4166,98232,1840037747
Artondale,WA,Washington,Pierce,47.3023,-122.6398,98335,1840037617
May Creek,WA,Washington,Snohomish,47.8555,-121.6742,98251,1840037857
Home,WA,Washington,Pierce,47.279,-122.7744,98349,1840023831
Vashon,WA,Washington,King,47.4122,-122.4726,98070 98013,1840018414
Snoqualmie Falls,WA,Washington,King,47.5398,-121.8098,98065,1840037818
Laurier,WA,Washington,Ferry,48.9974,-118.2247,99146,1840026092
Quincy,WA,Washington,Grant,47.2342,-119.8512,98848,1840019818
Lake McMurray,WA,Washington,Skagit,48.3129,-122.2317,98274,1840037893
Martha Lake,WA,Washington,Snohomish,47.8479,-122.2327,98087 98012 98208,1840037875
Ariel,WA,Washington,Cowlitz,45.9568,-122.5709,98603,1840037526
Loon Lake,WA,Washington,Stevens,48.0686,-117.6299,99148,1840023998
Thornton,WA,Washington,Whitman,47.1207,-117.3896,99176,1840037512
Starbuck,WA,Washington,Columbia,46.5184,-118.1251,99359,1840022325
Mirrormont,WA,Washington,King,47.4616,-121.9936,98027,1840037876
Kelso,WA,Washington,Cowlitz,46.1249,-122.8907,98626 98632,1840018503
Meadowdale,WA,Washington,Snohomish,47.8584,-122.3161,98026,1840023774
Cottage Lake,WA,Washington,King,47.7465,-122.0755,98072 98077,1840037848
Cheney,WA,Washington,Spokane,47.49,-117.5789,99004,1840018398
Woodway,WA,Washington,Snohomish,47.7906,-122.3849,98020,1840037730
Lacey,WA,Washington,Thurston,47.0444,-122.7933,98503 98516 98509,1840019866
Harrah,WA,Washington,Yakima,46.407,-120.5422,98933,1840021156
Allyn,WA,Washington,Mason,47.3863,-122.8386,98524,1840025251
South Bend,WA,Washington,Pacific,46.6683,-123.8016,98586 98577,1840021161
Barstow,WA,Washington,Ferry,48.7783,-118.1329,99141,1840026089
Tiger,WA,Washington,Pend Oreille,48.6916,-117.4077,99119,1840037834
Warden,WA,Washington,Grant,46.9682,-119.0512,98857,1840021103
Junction City,WA,Washington,Grays Harbor,46.9712,-123.7651,98520,1840017362
Blyn,WA,Washington,Clallam,48.0131,-122.9897,98382,1840017318
Lakebay,WA,Washington,Pierce,47.257,-122.7585,98349,1840037737
Tahuya,WA,Washington,Mason,47.3712,-123.0557,98588,1840037823
Selah,WA,Washington,Yakima,46.648,-120.5388,98942,1840021149
Kitsap Lake,WA,Washington,Kitsap,47.5829,-122.7085,98312,1840037673
Sultan,WA,Washington,Snohomish,47.8703,-121.8036,98294,1840021080
Plain,WA,Washington,Chelan,47.7626,-120.6573,98826,1840037804
Tanner,WA,Washington,King,47.4813,-121.6925,98045,1840037824
Edmonds,WA,Washington,Snohomish,47.8114,-122.3534,98026 98020,1840037645
North Hill,WA,Washington,King,47.4193,-122.3235,98198,1840037877
Zillah,WA,Washington,Yakima,46.4085,-120.273,98953,1840021155
Monse,WA,Washington,Okanogan,48.1413,-119.6778,98812,1840037798
Lake Forest Park,WA,Washington,King,47.7592,-122.2877,98155,1840019837
Marlin,WA,Washington,Grant,47.4074,-118.985,98832,1840037844
Chinook,WA,Washington,Pacific,46.2755,-123.9425,98624 98614,1840017374
Albion,WA,Washington,Whitman,46.792,-117.2506,99163 99102,1840021136
Skykomish,WA,Washington,King,47.7103,-121.3585,98288,1840022299
Yakima,WA,Washington,Yakima,46.5926,-120.5492,98901 98903 98902 98908 98904 98907,1840021154
Pacific,WA,Washington,King,47.261,-122.2507,98001 98047,1840019834
Wishram,WA,Washington,Klickitat,45.6599,-120.9698,98673,1840018528
Cascade Valley,WA,Washington,Grant,47.1406,-119.3289,98837,1840037865
Cathcart,WA,Washington,Snohomish,47.8525,-122.1058,98296,1840017324
Brush Prairie,WA,Washington,Clark,45.7251,-122.5483,98606 98662,1840017398
Amboy,WA,Washington,Clark,45.9122,-122.4795,98601 98675,1840017396
Centerville,WA,Washington,Klickitat,45.754,-120.908,98613,1840017401
Verlot,WA,Washington,Snohomish,48.1003,-121.7679,98252,1840018376
Alstown,WA,Washington,Douglas,47.561,-119.9951,98858,1840037525
Synarep,WA,Washington,Okanogan,48.521,-119.3309,98849,1840037822
Annapolis,WA,Washington,Kitsap,47.5476,-122.6207,98366,1840037615
Port Gamble,WA,Washington,Kitsap,47.8543,-122.5838,98370,1840037702
Eatonville,WA,Washington,Pierce,46.8682,-122.2697,98328,1840021131
Similk Beach,WA,Washington,Skagit,48.4479,-122.5779,98221,1840037712
Cougar,WA,Washington,Cowlitz,46.0515,-122.2995,98616,1840037758
Eglon,WA,Washington,Kitsap,47.8626,-122.5146,98346,1840037647
Paterson,WA,Washington,Benton,45.9371,-119.6028,99350,1840037581
Tenino,WA,Washington,Thurston,46.8538,-122.8603,98589,1840021144
Minnehaha,WA,Washington,Clark,45.6576,-122.6204,98661,1840018518
Raymond,WA,Washington,Pacific,46.6841,-123.7375,98577,1840019881
Alger,WA,Washington,Skagit,48.6176,-122.3369,98229 98233 98232 98284,1840017312
Roy,WA,Washington,Pierce,46.9971,-122.5424,98580,1840019856
Snoqualmie,WA,Washington,King,47.5292,-121.8409,98065,1840021119
Fragaria,WA,Washington,Kitsap,47.464,-122.5312,98359,1840037550
Green Bluff,WA,Washington,Spokane,47.819,-117.277,99021 99005,1840023785
Woodmont Beach,WA,Washington,King,47.3615,-122.3121,98198,1840037729
Frances,WA,Washington,Pacific,46.5423,-123.5049,98577,1840037654
Lynden,WA,Washington,Whatcom,48.9502,-122.4542,98264,1840019752
Clayton,WA,Washington,Stevens,48.0012,-117.5611,99110,1840025239
Everson,WA,Washington,Whatcom,48.9124,-122.3509,98247,1840019750
White Swan,WA,Washington,Yakima,46.3769,-120.7381,98952,1840018464
Camano,WA,Washington,Island,48.1866,-122.4707,98282,1840037492
Cedar Grove,WA,Washington,King,47.4357,-122.0621,98038,1840037534
Winton,WA,Washington,Chelan,47.7354,-120.7412,98826,1840037833
East Olympia,WA,Washington,Thurston,46.9676,-122.8357,98501,1840037493
Sunset Beach,WA,Washington,Pierce,47.2182,-122.5726,98466,1840037714
Belfair,WA,Washington,Mason,47.4512,-122.8473,98528,1840025252
Oso,WA,Washington,Snohomish,48.2837,-121.9238,98223,1840018374
Federal Way,WA,Washington,King,47.3091,-122.3358,98023 98001 98003 98063 98093,1840019826
Scandia,WA,Washington,Kitsap,47.7165,-122.6579,98370,1840037840
Quilcene,WA,Washington,Jefferson,47.8369,-122.9058,98376,1840018389
Covada,WA,Washington,Ferry,48.2204,-118.2089,99138,1840037542
Hartline,WA,Washington,Grant,47.6894,-119.1081,99135,1840021105
Juanita,WA,Washington,King,47.7032,-122.2071,98033,1840037670
Molson,WA,Washington,Okanogan,48.981,-119.2006,98844,1840037796
Daisy,WA,Washington,Stevens,48.3613,-118.16,99167,1840037760
Sumas,WA,Washington,Whatcom,48.9955,-122.2695,98295,1840021045
Mill Creek,WA,Washington,Snohomish,47.8631,-122.2037,98012 98082,1840019790
Lakewood,WA,Washington,Pierce,47.1627,-122.5299,98498 98499 98496 98497,1840019860
Venersborg,WA,Washington,Clark,45.786,-122.4721,98604,1840018521
Port Angeles,WA,Washington,Clallam,48.1141,-123.4565,98362 98363,1840019782
Fairmont,WA,Washington,Snohomish,47.902,-122.2543,98204,1840037612
Wapato,WA,Washington,Yakima,46.4435,-120.4213,98951,1840021153
East Port Orchard,WA,Washington,Kitsap,47.5192,-122.6183,98366,1840037838
North Omak,WA,Washington,Okanogan,48.444,-119.4459,98841,1840037879
